weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
1.46, 1.73, 1.65, 1.22, 0.36, 0.4, 0.1, 13724, 1024
1.92, 2.6, 0.7, 0.46, 0.53, 0.22, 0.33, 2408, 256
1.92, 2.6, 0.7, 0.46, 0.53, 0.22, 0.33, 3312, 256
1.92, 2.6, 0.7, 0.46, 0.53, 0.22, 0.33, 4460, 256
1.92, 2.6, 0.7, 0.46, 0.53, 0.22, 0.33, 7272, 512
1.92, 2.6, 0.7, 0.46, 0.53, 0.22, 0.33, 10480, 1024
2.38, 0.78, 1.93, 0.57, 0.87, 0.22, 0.17, 2336, 256
2.38, 0.78, 1.93, 0.57, 0.87, 0.22, 0.17, 6680, 512
2.38, 0.78, 1.93, 0.57, 0.87, 0.22, 0.17, 10632, 1024
2.38, 0.78, 1.93, 0.57, 0.87, 0.22, 0.17, 11308, 1024
2.38, 0.78, 1.93, 0.57, 0.87, 0.22, 0.17, 11916, 1024
1.93, 1.18, 0.54, 0.27, 1.46, 0.28, 0.36, 3456, 256
1.93, 1.18, 0.54, 0.27, 1.46, 0.28, 0.36, 3688, 256
1.93, 1.18, 0.54, 0.27, 1.46, 0.28, 0.36, 4876, 256
1.93, 1.18, 0.54, 0.27, 1.46, 0.28, 0.36, 7336, 512
1.93, 1.18, 0.54, 0.27, 1.46, 0.28, 0.36, 10936, 1024
2.69, 2.23, 0.5, 0.97, 0.64, 0.31, 0.29, 2812, 256
2.69, 2.23, 0.5, 0.97, 0.64, 0.31, 0.29, 5120, 512
2.69, 2.23, 0.5, 0.97, 0.64, 0.31, 0.29, 5452, 512
2.69, 2.23, 0.5, 0.97, 0.64, 0.31, 0.29, 6064, 512
2.69, 2.23, 0.5, 0.97, 0.64, 0.31, 0.29, 10348, 1024
2.27, 1.9, 0.88, 1.45, 0.16, 0.23, 0.35, 5928, 512
2.27, 1.9, 0.88, 1.45, 0.16, 0.23, 0.35, 6304, 512
2.27, 1.9, 0.88, 1.45, 0.16, 0.23, 0.35, 6920, 512
2.27, 1.9, 0.88, 1.45, 0.16, 0.23, 0.35, 8644, 512
2.27, 1.9, 0.88, 1.45, 0.16, 0.23, 0.35, 9884, 512
1.13, 2.66, 0.86, 1.07, 0.83, 0.12, 0.25, 1840, 128
1.13, 2.66, 0.86, 1.07, 0.83, 0.12, 0.25, 3512, 256
1.13, 2.66, 0.86, 1.07, 0.83, 0.12, 0.25, 3440, 256
1.13, 2.66, 0.86, 1.07, 0.83, 0.12, 0.25, 5416, 512
1.13, 2.66, 0.86, 1.07, 0.83, 0.12, 0.25, 6784, 512
1.15, 2.01, 1.79, 0.63, 0.74, 1.21, 0.33, 4352, 512
1.15, 2.01, 1.79, 0.63, 0.74, 1.21, 0.33, 5132, 512
1.15, 2.01, 1.79, 0.63, 0.74, 1.21, 0.33, 6704, 512
1.15, 2.01, 1.79, 0.63, 0.74, 1.21, 0.33, 7148, 512
1.15, 2.01, 1.79, 0.63, 0.74, 1.21, 0.33, 10588, 1024
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 3508, 256
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 3340, 256
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 4116, 256
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 4616, 512
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 5700, 512
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 1572, 128
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 4828, 256
